786-4,Hemoglobin,HEM/BC,Auto; Automated detection; Elec; Elect; Electr; Erythrocytes; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Point in time; QNT; Quan; Quant; Quantitative; Random; Red blood cells; Red blood corpusles,MCHC RBC Auto-EntMCnc,g/L;g/dL,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,g/dL,MCHC Auto (RBC) [Entitic Mass/Vol]
787-2,Observation,HEM/BC,Auto; Automated detection; Elec; Elect; Electr; Erythrocytes; HEMATOLOGY/CELL COUNTS; Point in time; QNT; Quan; Quant; Quantitative; Random; Red blood cells; Red blood corpusles,MCV RBC Auto,fL,MCV [Entitic mean volume] in Red Blood Cells by Automated count,fL,MCV Auto (RBC) [Entitic mean vol]
785-6,Hemoglobin,HEM/BC,Auto; Automated detection; Elec; Elect; Electr; Entitic mass; Erythrocytes; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Point in time; QNT; Quan; Quant; Quantitative; Random; Red blood cells; Red blood corpusles,MCH RBC Qn Auto,pg,MCH [Entitic mass] by Automated count,pg,MCH Auto (RBC) [Entitic mass]
789-8,Erythrocytes,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Discocytes; Elec; Elect; Electr; Erthrocyte; Erythrocyte; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; RBCS; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; UniversalLabOrders; WB; Whole blood,RBC # Bld Auto,10*12/L,Erythrocytes [#/volume] in Blood by Automated count,10*6/uL,RBC Auto (Bld) [#/Vol]
718-7,Hemoglobin,HEM/BC,Blood; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; UniversalLabOrders; WB; Whole blood,Hgb Bld-mCnc,g/dL,Hemoglobin [Mass/volume] in Blood,g/dL,Hemoglobin (Bld) [Mass/Vol]
8867-4,Heart rate,HRTRATE.ATOM,Count/time; Heart beat; HEART RATE.ATOM; Misc; Miscellaneous; nRate; Number rate; Number Rate = Count/Time; Other; Point in time; Pulse; QNT; Quan; Quant; Quantitative; Random; Spec; To be specified in another part of the message; Unspecified,Heart rate,{beats}/min,Heart rate,{beats}/min;{counts}/min,
788-0,Erythrocyte,HEM/BC,Auto; Automated detection; Blood; Discocyte; Elec; Elect; Electr; Erc; Erythrocytes; HEMATOLOGY/CELL COUNTS; Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; WB; Whole blood,Erythrocyte DistWidth Bld Auto,%,Erythrocyte [DistWidth] in Blood by Automated count,%,Erythrocyte Auto (Bld) [DistWidth]
777-3,Platelets,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Platelet; Platelet count; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; UniversalLabOrders; WB; Whole blood,Platelet # Bld Auto,10*9/L,Platelets [#/volume] in Blood by Automated count,10*3/uL,Platelets Auto (Bld) [#/Vol]
6690-2,Leukocytes,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; UniversalLabOrders; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,WBC # Bld Auto,10*9/L,Leukocytes [#/volume] in Blood by Automated count,10*3/uL,WBC Auto (Bld) [#/Vol]
1975-2,Bilirubin,CHEM,Bili; Bilirubins; Billirubin; Chemistry; Hematology; Heme; Hepatology; Level; Liver; Mass Concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TBIL; UniversalLabOrders,Bilirub SerPl-mCnc,mg/dL,Bilirubin.total [Mass/volume] in Serum or Plasma,mg/dL,Bilirubin [Mass/Vol]
2885-2,Protein,CHEM,Chemistry; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PR; Prot; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Prot SerPl-mCnc,g/L;g/dL,Protein [Mass/volume] in Serum or Plasma,g/dL,Protein [Mass/Vol]
1742-6,Alanine aminotransferase,CHEM,Ala; Alanine transaminase; ALAT; Alpha alanine; ALT; Catalytic Concentration; Chemistry; Glutamic-pyruvic transferase; Hepatology; L-alanine; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGPT; SR; UniversalLabOrders,ALT SerPl-cCnc,arb U/L,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/L,ALT [Catalytic activity/Vol]
32623-1,Platelet,HEM/BC,Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Pl; Platelets; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrombocyte; Thrombocytes; WB; Whole blood,PMV Bld Auto,fL,Platelet [Entitic mean volume] in Blood by Automated count,fL,Platelet Auto (Bld) [Entitic mean vol]
6768-6,Alkaline phosphatase,CHEM,Alk; Alk phos; Alkaline phos; Alkaline phosphatase.total; ALKP; ALP; AP; Catalytic Concentration; Chemistry; Hepatology; Liver; MSK; Musculoskeletal; Ortho; Orthopedics; Phos; Phosphtase; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,ALP SerPl-cCnc,arb U/L,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,U/L,ALP [Catalytic activity/Vol]
1920-8,Aspartate aminotransferase,CHEM,Asp; Aspartate amino transferase; Aspartate transaminase; Aspartic acid; AST; Catalytic Concentration; Chemistry; Glutamic oxaloacetic transaminase; Hepatology; Liver; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SGOT; SR; UniversalLabOrders,AST SerPl-cCnc,arb U/L,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/L,AST [Catalytic activity/Vol]
4544-3,Erythrocyte/Blood,HEM/BC,Auto; Automated detection; Blood; Discocyte; Elec; Elect; Electr; Erc; Erythrocytes; HEMATOLOGY/CELL COUNTS; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; Volfr; Volume fraction; WB; Whole blood,Hct VFr Bld Auto,L/L;%,Hematocrit [Volume Fraction] of Blood by Automated count,%,Hematocrit Auto (Bld) [Volume fraction]
10466-1,Anion gap,CHEM,Ag; AnGAP; Calc; Calculation; Chemistry; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration,Anion Gap SerPl Calculated.3Ions-sCnc,mmol/L,Anion gap in Serum or Plasma by Calculated.3Ions,mmol/L,Anion gap Calculated.3Ions [Moles/Vol]
751-8,Neutrophils,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Neut; Neutr; Neutrophil; Number concentration; Number Concentration (count/vol); PMN; PNM; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood,Neutrophils # Bld Auto,10*9/L,Neutrophils [#/volume] in Blood by Automated count,10*3/uL,Neutrophils Auto (Bld) [#/Vol]
704-7,Basophils,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Baso; Basophil; Basos; Blood; Bph; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood,Basophils # Bld Auto,10*9/L,Basophils [#/volume] in Blood by Automated count,10*3/uL,Basophils Auto (Bld) [#/Vol]
742-7,Monocytes,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Mono; Monocyte; Monos; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood,Monocytes # Bld Auto,10*9/L,Monocytes [#/volume] in Blood by Automated count,10*3/uL,Monocytes Auto (Bld) [#/Vol]
731-0,Lymphocytes,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Lymp; Lymph; Lympho; Lymphocyte; Lymphs; Lymphs%; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood,Lymphocytes # Bld Auto,10*9/L,Lymphocytes [#/volume] in Blood by Automated count,10*3/uL,Lymphocytes Auto (Bld) [#/Vol]
711-2,Eosinophils,HEM/BC,#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; Eos; Eosin; Eosino; Eosinophil; Eosins; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; UniversalLabOrders; WB; Whole blood,Eosinophil # Bld Auto,10*9/L,Eosinophils [#/volume] in Blood by Automated count,10*3/uL,Eosinophils Auto (Bld) [#/Vol]
770-8,Neutrophils/Leukocytes,HEM/BC,Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Neut; Neutr; Neutrophil; Number fraction; Percent; PMN; PNM; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Neutrophils NFr Bld Auto,%,Neutrophils/Leukocytes in Blood by Automated count,%,Neutrophils/Leukocytes Auto (Bld)
5905-5,Monocytes/Leukocytes,HEM/BC,Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Mono; Monocyte; Monos; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Monocytes NFr Bld Auto,%,Monocytes/Leukocytes in Blood by Automated count,%,Monocytes/Leukocytes Auto (Bld)
736-9,Lymphocytes/Leukocytes,HEM/BC,Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Lymp; Lymph; Lympho; Lymphocyte; Lymphs; Lymphs%; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Lymphocytes NFr Bld Auto,%,Lymphocytes/Leukocytes in Blood by Automated count,%,Lymphocytes/Leukocytes Auto (Bld)
33914-3,Glomerular filtration rate,CHEM,Chemistry; GFR; Glom; Modification of Diet in Renal Disease; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Square Meter; SR; Volume rate/area; Volume Rate/Ratio,GFR SerPl Creatinine-bsd frml MDRD,mL/min; ml/min/1.73m2,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,mL/min/{1.73_m2},GFR Creatinine-based formula (MDRD)/1.73 sq M [Vol rate/Area]
1751-7,Albumin,CHEM,Alb; Chemistry; Hepatology; Kidney; Level; Liver; Mass Concentration; Nephrology; Pl; Plasma; Plsm; Point in time; Protein.albumin; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Albumin SerPl-mCnc,g/L;g/dL; mg/dL,Albumin [Mass/volume] in Serum or Plasma,g/dL,Albumin [Mass/Vol]
20570-8,Erythrocyte/Blood,HEM/BC,Blood; Calc; Calculation; Discocyte; Erc; Erythrocytes; HEMATOLOGY/CELL COUNTS; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; UniversalLabOrders; Volfr; Volume fraction; WB; Whole blood,Hct VFr Bld Calc,%,Hematocrit [Volume Fraction] of Blood by calculation,%,Hematocrit Calc (Bld) [Volume fraction]
713-8,Eosinophils/Leukocytes,HEM/BC,Auto; Automated detection; Blood; Elec; Elect; Electr; Eos; Eosin; Eosino; Eosinophil; Eosins; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Eosinophil NFr Bld Auto,%,Eosinophils/Leukocytes in Blood by Automated count,%,Eosinophils/Leukocytes Auto (Bld)
706-2,Basophils/Leukocytes,HEM/BC,Auto; Automated detection; Baso; Basophil; Basos; Blood; Bph; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Basophils NFr Bld Auto,%,Basophils/Leukocytes in Blood by Automated count,%,Basophils/Leukocytes Auto (Bld)
8661-1,Chief complaint,H&P.HX,Finding; Findings; H+P; H+P.HX; Nominal; P prime; Point in time; Random,Chief complaint Reported,,Chief complaint - Reported,,
29463-7,Body weight,BDYWGT.ATOM,AOEObservation; Bdy weight; bod; Bodies; BODY WEIGHT.ATOM; Point in time; QNT; Quan; Quant; Quantitative; Random; Wt,Weight,pounds;kilograms,Body weight,[lb_av];kg,
11556-8,Oxygen,CHEM,Blood; Chemistry; Lung; O2; O2 partial pressure; Partial pressure; PO2; Point in time; Pulmonary; Pulmonology; QNT; Quan; Quant; Quantitative; Random; Respiratory; tO2; WB; Whole blood,pO2 Bld,mm Hg,Oxygen [Partial pressure] in Blood,mm[Hg],Oxygen (Bld) [Partial pressure]
8302-2,Body height,BDYHGT.ATOM,AOEObservation; Axial length; bod; Bodies; BODY HEIGHT(LENGTH).ATOM; Body length; Length; Point in time; QNT; Quan; Quant; Quantitative; Random,Body height,inches; cm,Body height,[in_us];cm;m,
39156-5,Body mass index,BDYWGT.ATOM,BMI; bod; Bodies; BODY WEIGHT.ATOM; Point in time; QNT; Quan; Quant; Quantitative; Quetelet index; Random; Ratios; Rto,BMI,kg/m2,Body mass index (BMI) [Ratio],kg/m2,
48643-1,Glomerular filtration rate,CHEM,"Blood; Chemistry; GFR; Glom; Kidney; Modification of Diet in Renal Disease; Nephrology; Pl; PlasBld; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; SerPlBld; Serum; Serum or plasma; Serum, plasma or whole blood; Square Meter; SR; Volume rate/area; Volume Rate/Ratio; WB; Whole blood",GFR SerPlBld Creatinine-bsd fmla /1.73sq,mL/min; ml/min/1.73m2,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M among black population",mL/min/{1.73_m2},GFR Creatinine-based formula (MDRD)/1.73 sq M among black population (S/P/Bld) [Vol rate/Area]
8310-5,Body temperature,BDYTMP.ATOM,Bdy temp; bod; Bodies; BODY TEMPERATURE.ATOM; Point in time; QNT; Quan; Quant; Quantitative; Random; Temp; Temperature,Body temperature,deg C,Body temperature,Cel,
48642-3,Glomerular filtration rate,CHEM,"Blood; Chemistry; GFR; Glom; Kidney; Modification of Diet in Renal Disease; Nephrology; Pl; PlasBld; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; SerPlBld; Serum; Serum or plasma; Serum, plasma or whole blood; Square Meter; SR; Volume rate/area; Volume Rate/Ratio; WB; Whole blood",GFR/BSA pr.non blk SerPlBld MDRD-ArV,mL/min; ml/min/1.73m2,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M among non black population",mL/min/{1.73_m2},GFR Creatinine-based formula (MDRD)/1.73 sq M among non black population (S/P/Bld) [Vol rate/Area]
19123-9,Magnesium,CHEM,Chemistry; Level; MAG; Magnes; Mass concentration; Mg; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Magnesium SerPl-mCnc,mg/dL,Magnesium [Mass/volume] in Serum or Plasma,mg/dL,Magnesium [Mass/Vol]
2339-0,Glucose,CHEM,Blood; Chemistry; Endocrine; Endocrinology; Glu; Gluc; Glucoseur; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; UniversalLabOrders; WB; Whole blood,Glucose Bld-mCnc,mg/dL,Glucose [Mass/volume] in Blood,mg/dL,Glucose (Bld) [Mass/Vol]
38518-7,Granulocytes.immature/Leukocytes,HEM/BC,Blood; Gran; Grans; Granulocyte; Granulocytes; HEMATOLOGY/CELL COUNTS; Imm; Imm Granulocytes; Immat; Leuc; Leuk; Leukocyte; Lkcs; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Imm Granulocytes NFr Bld,%,Immature granulocytes/Leukocytes in Blood,%,Immature granulocytes/Leukocytes (Bld)
5902-2,Coagulation tissue factor induced,COAG,Clot; Clottable; Coag; Coagulation assay; Fac; Fact; Hematology; Heme; Plas; Platelet poor plasma; Point in time; Pro time; Prothrombin time; Protime; PT; QNT; Quan; Quant; Quantitative; Random; Tilt tube; UniversalLabOrders,Prothrombin time,s,Prothrombin time (PT),s,PT Coag (PPP) [Time]
2777-1,Phosphate,CHEM,Chemistry; i Phos; Inorganic phosphate; Level; Mass concentration; Phos; Phosphate total; Phosphorous; Phosphorus; Phosphrous; Pi; Pl; Plasma; Plsm; PO4; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Phosphate SerPl-mCnc,mg/dL,Phosphate [Mass/volume] in Serum or Plasma,mg/dL,Phosphate [Mass/Vol]
41653-7,Glucose,CHEM,Blood - capillary; Cap bld; Cap blood; Capillary bld; Capillary blood; Chemistry; Endocrine; Endocrinology; Finger stick; Glu; Gluc; Glucomtr; Glucoseur; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; UniversalLabOrders,Glucose BldC Glucomtr-mCnc,mg/dL,Glucose [Mass/volume] in Capillary blood by Glucometer,mg/dL,Glucose Glucometer (BldC) [Mass/Vol]
30353-7,Hemoglobin,HEM/BC,Bld cord; Cord BldV; Cord venous blood; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random,Hgb BldCoV-mCnc,g/dL,Hemoglobin [Mass/volume] in Venous cord blood,g/dL,Hemoglobin (BldCoV) [Mass/Vol]
74774-1,Glucose,CHEM,"Blood; Chemistry; Endocrine; Endocrinology; Glu; Gluc; Glucoseur; Level; LimitedUseLabOrders; Mass Concentration; Pl; PlasBld; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; SerPlBld; Serum; Serum or plasma; Serum, plasma or whole blood; SR; WB; Whole blood",Glucose SerPlBld-mCnc,mg/dl,"Glucose [Mass/volume] in Serum, Plasma or Blood",mg/dL,Glucose (S/P/Bld) [Mass/Vol]
58413-6,Erythrocytes.nucleated/Leukocytes,HEM/BC,Auto; Automated detection; Blood; Discocytes; Elec; Elect; Electr; Erthrocyte; Erythroblasts; Erythrocyte; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Normoblasts; nRBC; nRBCs; Nuc; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; RBC; RBCS; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; Rto; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,nRBC Bld Auto-Rto,%,Nucleated erythrocytes/Leukocytes [Ratio] in Blood by Automated count,%,Nucleated RBC/Leukocytes Auto (Bld) [Ratio]
71695-1,Granulocytes.immature/Leukocytes,HEM/BC,Auto; Automated detection; Blood; Elec; Elect; Electr; Gran; Grans; Granulocyte; Granulocytes; HEMATOLOGY/CELL COUNTS; Imm; Imm Granulocytes; Immat; Leuc; Leuk; Leukocyte; Lkcs; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood,Imm Granulocytes NFr Bld Auto,%,Immature granulocytes/Leukocytes in Blood by Automated count,%,Immature granulocytes/Leukocytes Auto (Bld)
2093-3,Cholesterol,CHEM,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; Heart Disease; Level; Lipid; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Cholest SerPl-mCnc,mg/dL,Cholesterol [Mass/volume] in Serum or Plasma,mg/dL,Cholesterol [Mass/Vol]
2085-9,Cholesterol.in HDL,CHEM,Cardio; Cardiology; Chemistry; Chol; Choles; Cholest; Cholesterol total; Cholesterols; HDLc; HDL-C; Heart Disease; High density lipoprotein cholesterols; Level; Lipid; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; TCHHDL; UniversalLabOrders,HDLc SerPl-mCnc,mg/dL,Cholesterol in HDL [Mass/volume] in Serum or Plasma,mg/dL,Cholesterol in HDL [Mass/Vol]
2514-8,Ketones,CHEM,Acetest; Acetoacetate; Acetoacetates; Acetone bodies; Chemistry; Dip stick; Dipstick; Ketone; Ketone bodies; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Ketones Ur Ql Strip,,Ketones [Presence] in Urine by Test strip,,Ketones Test strip Ql (U)
